gbest,cant_gen,gen_gbest,puntos,expectativa_vida,k,cant_torneos,mutate_chance
0.0,527,27,10,10,8,40,0.003
0.0,528,28,10,10,8,40,0.003
0.0,564,64,10,10,8,40,0.003
0.0,538,38,10,10,8,40,0.003
0.0,582,82,10,10,8,40,0.003
0.0,578,78,10,10,8,40,0.003
0.0,563,63,10,10,8,40,0.003
0.0,577,77,10,10,8,40,0.003
0.0,537,37,10,10,8,40,0.003
0.0,551,51,10,10,8,40,0.003
0.0,545,45,25,10,8,40,0.003
0.0,503,3,25,10,8,40,0.003
0.0,563,63,25,10,8,40,0.003
0.0,510,10,25,10,8,40,0.003
0.0,548,48,25,10,8,40,0.003
0.0,561,61,25,10,8,40,0.003
0.0,535,35,25,10,8,40,0.003
0.0,533,33,25,10,8,40,0.003
0.0,559,59,25,10,8,40,0.003
0.0,524,24,50,10,8,40,0.003
0.0,560,60,50,10,8,40,0.003
0.0,553,53,50,10,8,40,0.003
0.0,540,40,50,10,8,40,0.003
0.0,579,79,50,10,8,40,0.003
0.0,537,37,50,10,8,40,0.003
0.0,536,36,50,10,8,40,0.003
0.0,563,63,50,10,8,40,0.003
0.0,540,40,50,10,8,40,0.003
0.0,560,60,50,10,8,40,0.003
0.0,535,35,75,10,8,40,0.003
0.0,562,62,75,10,8,40,0.003
0.0,589,89,75,10,8,40,0.003
0.0,554,54,75,10,8,40,0.003
0.0,540,40,75,10,8,40,0.003
0.0,544,44,75,10,8,40,0.003
0.0,546,46,75,10,8,40,0.003
0.0,541,41,75,10,8,40,0.003
0.0,553,53,75,10,8,40,0.003
0.0,586,86,75,10,8,40,0.003
0.0,533,33,100,10,8,40,0.003
0.0,523,23,100,10,8,40,0.003
0.0,577,77,100,10,8,40,0.003
0.0,577,77,100,10,8,40,0.003
0.0,554,54,100,10,8,40,0.003
0.0,547,47,100,10,8,40,0.003
0.0,568,68,100,10,8,40,0.003
0.0,601,101,100,10,8,40,0.003
0.0,564,64,100,10,8,40,0.003
0.0,567,67,100,10,8,40,0.003
